Title,Genre,Year,imdbRating,Plot
Fifty Shades of Grey,"Drama, Romance, Thriller",2015,4.1,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
American Heist,"Action, Crime, Drama, Thriller",2014,5.1,"James owes his life to his older brother, Frankie after taking the rap for a crime they committed together. While Frankie served time, James worked to turn his life around, got a steady job and began courting his former girlfriend Emily. Now, Frankie is released and back on the streets with no money and no place to go."
Strange Magic,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",2015,5.8,"Goblins, elves, fairies and imps, and their misadventures sparked by the battle over a powerful potion."
The Duff,"Comedy, Romance",2015,6.5,"A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts."
Project Almanac,"Drama, Mystery, Sci-Fi, Thriller",2015,6.4,"A group of teens discover secret plans of a time machine, and construct one. However, things start to get out of control."
Louis C.K.: Live at the Comedy Store,"Documentary, Comedy",2015,7.8,Comedian Louis C.K. performs live at the Comedy store in LA.
Brooklyn,"Drama, Romance",2015,7.5,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within."
The End of the Tour,"Biography, Drama",2015,7.3,"The story of the five-day interview between Rolling Stone reporter David Lipsky and acclaimed novelist David Foster Wallace, which took place right after the 1996 publication of Wallace's groundbreaking epic novel, 'Infinite Jest.'"
Experimenter,"Biography, Drama, History",2015,6.6,"In 1961, famed social psychologist Stanley Milgram conducted a series of radical behavior experiments that tested ordinary humans' willingness to obey authority."
Mistress America,"Comedy, Drama",2015,6.7,"A lonely college freshman's life is turned upside-down by her impetuous, adventurous stepsister-to-be."
Zipper,"Drama, Thriller",2015,5.7,A successful family man with a blossoming political career loses all sense of morality when he becomes addicted to using an escort agency.
A Walk in the Woods,"Adventure, Biography, Comedy, Drama",2015,6.3,"After spending two decades in England, Bill Bryson returns to the U.S., where he decides the best way to connect with his homeland is to hike the Appalachian Trail with one of his oldest friends."
True Story,"Crime, Drama, Mystery, Thriller",2015,6.3,When disgraced New York Times reporter Michael Finkel meets accused killer Christian Longo - who has taken on Finkel's identity - his investigation morphs into a game of cat-and-mouse.
Cobain: Montage of Heck,"Documentary, Animation, Biography, Music",2015,7.5,"An authorized documentary on the late musician Kurt Cobain, from his early days in Aberdeen, Washington to his success and downfall with the grunge band Nirvana."
Going Clear: Scientology & the Prison of Belief,Documentary,2015,8.0,A documentary looking at the inner-workings of the Church of Scientology.
"What Happened, Miss Simone?","Documentary, Biography, Music",2015,7.6,"A documentary about the life and legend Nina Simone, an American singer, pianist, and civil rights activist labeled the ""High Priestess of Soul."""
The D Train,"Comedy, Drama",2015,5.0,The head of a high school reunion committee tries to get the most popular guy in school to attend their class' upcoming 20-year reunion.
Dope,"Comedy, Crime, Drama",2015,7.2,"Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure."
Me and Earl and the Dying Girl,"Comedy, Drama, Romance",2015,7.8,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer."
The Overnight,"Comedy, Mystery",2015,6.1,"Alex, Emily, and their son, RJ, are new to Los Angeles. A chance meeting at the park introduces them to the mysterious Kurt, Charlotte, and Max. A family ""playdate"" becomes increasingly interesting as the night goes on."
The Stanford Prison Experiment,"Biography, Drama, History, Thriller",2015,6.9,"In 1971, twenty-four male students are selected to take on randomly assigned roles of prisoners and guards in a mock prison situated in the basement of the Stanford psychology building."
Vice,"Action, Adventure, Sci-Fi, Thriller",2015,4.2,"Bruce Willis stars in this Sci-Fi thriller about ultimate resort: VICE, where customers can play out their wildest fantasies with artificial inhabitants who look like humans."
The Hateful Eight,"Crime, Drama, Mystery, Thriller, Western",2015,7.8,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
Wild Card,"Action, Crime, Drama, Thriller",2015,5.6,"When a Las Vegas bodyguard with lethal skills and a gambling problem gets in trouble with the mob, he has one last play...and it's all or nothing."
Paper Towns,"Comedy, Drama, Mystery, Romance",2015,6.3,"After an all-night adventure, Quentin's lifelong crush, Margo, disappears, leaving behind clues that Quentin and his friends follow on the journey of a lifetime."
The Wedding Ringer,Comedy,2015,6.7,"Two weeks shy of his wedding, a socially awkward guy enters into a charade by hiring the owner of a company that provides best men for grooms in need."
Wyrmwood: Road of the Dead,"Action, Comedy, Horror",2014,6.2,A talented mechanic prepares to battle his way through hordes of flesh-eating monsters after his sister is kidnapped on the eve of a zombie apocalypse.
The Boy Next Door,"Drama, Horror, Romance, Thriller",2015,4.7,"A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn."
Boy Meets Girl,"Comedy, Drama, Romance",2014,7.0,"Boy Meets Girl is a funny, tender, sex positive romantic comedy that explores what it means to be a real man or woman, and how important it is to live a courageous life not letting fear stand in the way of going after your dreams."
Victoria,"Crime, Drama, Romance, Thriller",2015,7.7,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.
Crimson Peak,"Drama, Fantasy, Horror, Mystery, Romance, Thriller",2015,6.5,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds - and remembers."
Dragonheart 3: The Sorcerer's Curse,"Adventure, Fantasy",2015,5.2,"A young knight and a dragon named Drago, whose lives there now share with one heart, joins forces to protect a nest filled with dragon eggs from an evil sorcerer and undo a curse placed on Drago as well."
Hot Tub Time Machine 2,"Comedy, Mystery, Sci-Fi",2015,5.1,"When Lou gets killed, Nick and Jacob fire up the hot tub time machine to get back to the past, but they inadvertently land in the future with Adam Jr. Now they have to alter the future in ..."
Superfast!,Comedy,2015,4.1,Undercover cop Lucas White joins Vin Serento's LA gang of illegal street racers. They are fast and they are furious and they plan to double cross LA crime kingpin Juan Carlos de la Sol who ...
Focus,"Comedy, Crime, Drama, Romance",2015,6.6,"In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop."
The Second Best Exotic Marigold Hotel,"Comedy, Drama",2015,6.6,As the Best Exotic Marigold Hotel has only a single remaining vacancy - posing a rooming predicament for two fresh arrivals - Sonny pursues his expansionist dream of opening a second hotel.
Tracers,"Action, Crime, Drama, Thriller",2015,5.6,"Wanted by the Chinese mafia, a New York City bike messenger escapes into the world of parkour after meeting a beautiful stranger."
"McFarland, USA","Biography, Drama, Sport",2015,7.4,Jim White moves his family after losing his last job as a football coach. He sees that some of the students are worth starting a cross-country team and turns seven students with no hope into one of the best cross-country teams.
Unfinished Business,"Comedy, Drama",2015,5.4,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives. But what began as a routine business trip goes off the rails in every way imaginable, and unimaginable."
Run All Night,"Action, Crime, Drama, Thriller",2015,6.6,"Mobster and hit man Jimmy Conlon has one night to figure out where his loyalties lie: with his estranged son, Mike, whose life is in danger, or his longtime best friend, mob boss Shawn Maguire, who wants Mike to pay for the death of his own son."
Cinderella,"Drama, Family, Fantasy, Romance",2015,6.9,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
Kidnapping Mr. Heineken,"Action, Crime, Drama, Thriller",2015,6.1,"The inside story of the planning, execution, rousing aftermath, and ultimate downfall of the kidnappers of beer tycoon Alfred ""Freddy"" Heineken, which resulted in the largest ransom ever paid for an individual."
The Cobbler,"Comedy, Drama, Fantasy",2014,5.8,"A cobbler, bored of his everyday life, stumbles upon a magical heirloom that allows him to become other people and see the world in a different way."
Pan,"Adventure, Family, Fantasy",2015,5.8,"Twelve-year-old orphan Peter is spirited away to the magical world of Neverland, where he finds both fun and danger, and ultimately discovers his destiny -- to become the hero who will be for ever known as Peter Pan."
Insurgent,"Action, Adventure, Sci-Fi, Thriller",2015,6.2,Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.
Home,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",2015,6.6,"An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference."
Midnight Special,"Action, Drama, Mystery, Sci-Fi, Thriller",2016,6.6,"A father and son go on the run, pursued by the government and a cult drawn to the child's special powers."
The Gunman,"Action, Crime, Drama, Mystery, Thriller",2015,5.8,"A sniper on a mercenary assassination team, kills the minister of mines of the Congo. Terrier's successful kill shot forces him into hiding. Returning to the Congo years later, he becomes the target of a hit squad himself."
Furious 7,"Action, Crime, Thriller",2015,7.2,Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.
The Final Girls,"Comedy, Horror",2015,6.6,"A young woman grieving the loss of her mother, a famous scream queen from the 1980s, finds herself pulled into the world of her mom's most famous movie. Reunited, the women must fight off the film's maniacal killer."
Spring,"Horror, Romance, Sci-Fi",2014,6.7,"A young man in a personal tailspin flees from US to Italy, where he sparks up a romance with a woman harboring a dark, primordial secret."
Power Rangers,"Short, Action, Sci-Fi",2015,7.8,A dark and gritty re-imagining of the classic franchise.
Get Hard,"Comedy, Crime",2015,6.0,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars."
Shaun the Sheep Movie,"Animation, Adventure, Comedy, Family, Fantasy",2015,7.4,"When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home."
Last Knights,"Action, Adventure, Drama",2015,6.2,A fallen warrior rises against a corrupt and sadistic ruler to avenge his dishonored master.
The Jinx: The Life and Deaths of Robert Durst,"Documentary, Crime",2015,8.7,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes."
Batman vs. Robin,"Animation, Action, Adventure, Crime, Drama, Thriller",2015,7.1,"While Damian Wayne struggles to cope with Batman's no-killing rule, he soon starts to believe that his destiny lies within a secret society known as, The Court of Owls."
Woman in Gold,"Biography, Drama, History",2015,7.3,"Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family."
Iliza Shlesinger: Freezing Hot,"Documentary, Comedy",2015,6.8,Iliza Shlesinger performs stand up comedy.
Tomorrowland,"Action, Adventure, Family, Fantasy, Mystery, Sci-Fi",2015,6.4,"Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
Buzzard,"Comedy, Drama, Horror",2014,6.4,"Paranoia forces small-time scam artist Marty to flee his hometown and hide out in a dangerous Detroit. With nothing but a pocket full of bogus checks, his Power Glove, and a bad temper, the horror metal slacker lashes out."
Paul Blart: Mall Cop 2,"Action, Comedy, Crime, Family",2015,4.4,"After six years of keeping our malls safe, Paul Blart has earned a well-deserved vacation. He heads to Las Vegas with his teenage daughter before she heads off to college. But safety never takes a holiday and when duty calls, Blart answers."
The Longest Ride,"Drama, Romance",2015,7.1,"The lives of a young couple intertwine with a much older man, as he reflects back on a past love."
Danny Collins,"Biography, Comedy, Drama, Music",2015,7.0,An aging rock star decides to change his life when he discovers a 40-year-old letter written to him by John Lennon.
Man Up,"Comedy, Drama, Romance",2015,6.8,"A single woman takes the place of a stranger's blind date, which leads to her finding the perfect boyfriend."
San Andreas,"Action, Adventure, Drama, Thriller",2015,6.1,"In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter."
Hitman: Agent 47,"Action, Adventure, Crime, Sci-Fi, Thriller",2015,5.7,An assassin teams up with a woman to help her find her father and uncover the mysteries of her ancestry.
Ch/B,"Comedy, Drama",2014,6.4,"Nurick and Yaroslav are trying to robe a crime boss. Unfortunately, Nurick dies but returns to the world with a mission: to be the guardian angel of Yaroslav."
Ricki and the Flash,"Comedy, Drama, Music",2015,5.9,"A musician who gave up everything for her dream of rock-and-roll stardom returns home, looking to make things right with her family."
Partisan,"Drama, Thriller",2015,5.8,"Alexander, a boy who has been raised in a sequestered commune, finds that his increasing unwillingness to fall in line puts him on a collision course with Gregori, the society's charismatic and domineering leader."
Infini,"Horror, Sci-Fi, Thriller",2015,5.4,"An elite 'search and rescue' team transport onto an off-world mining-facility to rescue Whit Carmichael, the lone survivor of a biological outbreak."
Pitch Perfect 2,"Comedy, Music",2015,6.4,"After a humiliating commando performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform."
Carol,"Drama, Romance",2015,7.2,An aspiring photographer develops an intimate relationship with an older woman in 1950s New York.
The Lobster,"Comedy, Drama, Romance, Sci-Fi, Thriller",2015,7.1,"In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods."
