Title,Genre,Year,imdbRating,Plot
The Jungle Book,"Adventure, Drama, Family, Fantasy",2016,7.4,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
Dragon Ball Z: Resurrection 'F',"Animation, Action, Adventure, Comedy, Fantasy, Sci-Fi",2015,7.4,"One peaceful day on Earth, two remnants of Frieza's army named Sorbet and Tagoma arrive searching for the Dragon Balls with the aim of reviving Frieza. They succeed, and Frieza subsequently seeks revenge on the Saiyans."
The Man from U.N.C.L.E.,"Action, Adventure, Comedy",2015,7.3,"In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
Sorrow,"Crime, Drama, Horror",2015,3.2,A couple of depraved killers find themselves in a different situation when the survivor takes matters into her own hands.
7 Days in Hell,"Comedy, Sport",2015,7.1,A fictional documentary-style expose on the rivalry between two of the greatest tennis players of all-time who battled it out in a 2001 match that lasted seven days.
The Walk,"Adventure, Biography, Drama, Thriller",2015,7.3,"In 1974, high-wire artist Philippe Petit recruits a team of people to help him realize his dream: to walk the immense void between the World Trade Center towers."
13 Hours,"Action, Drama, History, Thriller, War",2016,7.3,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."
The Gallows,"Horror, Thriller",2015,4.2,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone."
Joe Dirt 2: Beautiful Loser,Comedy,2015,4.2,"When happy family man Joe Dirt finds himself transported to the recent past, he begins an epic journey to get back to his loved ones in the present."
Dark Places,"Action, Drama, Mystery, Thriller",2015,6.2,"Libby Day was only eight years old when her family was brutally murdered in their rural Kansas farmhouse. Almost thirty years later, she reluctantly agrees to revisit the crime and uncovers the wrenching truths that led up to that tragic night."
Masss,"Action, Comedy, Horror",2015,6.1,"After a life-threatening accident, a man finds that he can communicate with the dead, and must decide whether to act on their advice."
The Revenant,"Action, Adventure, Biography, Drama, Western",2015,8.0,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.
Irrational Man,"Comedy, Drama",2015,6.6,A tormented philosophy professor finds a will to live when he commits an existential act.
All Creatures Big and Small,"Animation, Adventure, Comedy",2015,5.8,"It's the end of the world. A flood is coming. Luckily for Dave and his son Finny, a couple of clumsy Nestrians, an Ark has been built to save all animals. But as it turns out, Nestrians ..."
Southpaw,"Drama, Sport",2015,7.4,"A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction."
Sicario,"Action, Crime, Drama, Mystery, Thriller",2015,7.6,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.
10 Cent Pistol,"Crime, Thriller",2014,4.7,"A story about two lifelong criminals who maneuver through the shady underbelly of Los Angeles in search of wealth, love and redemption."
Anomalisa,"Animation, Comedy, Drama, Romance",2015,7.3,A man crippled by the mundanity of his life experiences something out of the ordinary.
The Colony,"Drama, Romance, Thriller",2015,7.1,"A young woman's desperate search for her abducted boyfriend draws her into the infamous Colonia Dignidad, a sect nobody has ever escaped from."
Always Watching: A Marble Hornets Story,Horror,2015,4.8,"A small town news team discovers a box of video tapes where a faceless figure dressed in a dark suit, haunts and torments a family... slowly driving them insane. Soon after, they realize that the ""Operator"" has begun to stalk them as well."
The Intern,"Comedy, Drama",2015,7.1,"Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin."
Love,"Drama, Romance",2015,6.0,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with the unstable Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
Room,"Drama, Thriller",2015,8.2,"Held captive for years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time."
The Runner,Drama,2015,4.7,"In the aftermath of the 2010 BP oil spill, an idealistic but flawed politician is forced to confront his dysfunctional life after his career is destroyed in a sex scandal."
The Gift,"Drama, Mystery, Thriller",2015,7.1,A young married couple's lives are thrown into a harrowing tailspin when an acquaintance from the husband's past brings mysterious gifts and a horrifying secret to light after more than 20 years.
The Witch,"Horror, Mystery",2015,6.8,"A family in 1630s New England is torn apart by the forces of witchcraft, black magic and possession."
Men & Chicken,"Comedy, Drama, Mystery, Sci-Fi",2015,6.7,"Two outcast brothers, through getting to know their unknown family, discover a horrible truth about themselves and their relatives."
The Escort,"Comedy, Drama, Romance",2016,6.0,"Desperate for a good story, a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute."
The Visit,"Comedy, Horror, Mystery, Thriller",2015,6.2,Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.
Secret in Their Eyes,"Crime, Drama, Mystery, Thriller",2015,6.3,"A tight-knit team of rising investigators, along with their supervisor, is suddenly torn apart when they discover that one of their own teenage daughters has been brutally murdered."
Jeff Ross Roasts Criminals: Live at Brazos County Jail,"Documentary, Comedy",2015,8.0,Jeff Ross performs stand-up and roasts prisoners at Brazos County Jail in Texas.
Battle for Sevastopol,"Biography, Drama, Romance, War",2015,7.2,"A story of Lyudmila Pavlichenko, the most successful female sniper in history."
American Ultra,"Action, Comedy, Sci-Fi",2015,6.1,A stoner - who is in fact a government agent - is marked as a liability and targeted for extermination. But he's too well-trained and too high for them to handle.
Straight Outta Compton,"Biography, Drama, History, Music",2015,7.9,"The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
Cop Car,"Crime, Thriller",2015,6.3,A small-town sheriff sets out to find the two kids who have taken his car on a joy ride.
Tangerine,"Comedy, Crime, Drama",2015,7.1,A hooker tears through Tinseltown on Christmas Eve searching for the pimp who broke her heart.
Joy,Drama,2015,6.6,"Joy is the story of the title character, who rose to become founder and matriarch of a powerful family business dynasty."
Victor Frankenstein,"Drama, Horror, Sci-Fi, Thriller",2015,6.0,"Told from Igor's perspective, we see the troubled young assistant's dark origins, his redemptive friendship with the young medical student Viktor Von Frankenstein, and become eyewitnesses to the emergence of how Frankenstein became the man - and the legend - we know today."
Guardians,"Action, Sci-Fi",2017,4.0,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple Soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again."
Scouts Guide to the Zombie Apocalypse,"Action, Comedy, Horror",2015,6.3,"Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak."
Suffragette,"Biography, Drama, History",2015,6.9,"In 1912 London, a young working mother is galvanized into radical political activism supporting the right for women to vote, and is willing to meet violence with violence to achieve this end."
Turbo Kid,"Action, Adventure, Comedy, Horror, Sci-Fi",2015,6.7,"In a post-apocalyptic wasteland in 1997, a comic book fan adopts the persona of his favourite hero to save his enthusiastic friend and fight a tyrannical overlord."
War Room,Drama,2015,6.4,"A seemingly perfect family looks to fix their problems with the help of Miss Clara, an older, wiser woman."
Legend,"Biography, Crime, Drama, Thriller",2015,7.0,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.
Deathgasm,"Action, Comedy, Horror, Music",2015,6.3,Two teenage boys unwittingly summon an ancient evil entity known as The Blind One by delving into black magic while trying to escape their mundane lives.
The Danish Girl,"Biography, Drama, History, Romance",2015,7.1,A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.
Cooties,"Action, Comedy, Horror, Sci-Fi",2014,5.7,"A mysterious virus hits an isolated elementary school, transforming the kids into a feral swarm of mass savages. An unlikely hero must lead a motley band of teachers in the fight of their lives."
Steve Jobs: The Man in the Machine,Documentary,2015,6.9,"A look at the personal and private life of the late Apple CEO, Steve Jobs."
Green Room,"Horror, Music, Thriller",2015,7.0,A punk rock band is forced to fight for survival after witnessing a murder at a neo-Nazi skinhead bar.
Beasts of No Nation,"Drama, War",2015,7.8,"A drama based on the experiences of Agu, a child soldier fighting in the civil war of an unnamed African country."
Bloodsucking Bastards,"Action, Comedy, Horror",2015,5.7,A down on his luck cubicle worker and his slacker best friend discover their new boss is a vampire who is turning their coworkers into the un-dead.
Knock Knock,"Drama, Thriller",2015,4.9,"A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse."
Demolition,"Comedy, Drama",2015,7.0,"A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew."
Our Brand Is Crisis,"Comedy, Drama",2015,6.1,"A battle-hardened American political consultant is sent to help re-elect a controversial president in Bolivia, where she must compete with a long-term rival working for another candidate."
High-Rise,"Drama, Horror, Sci-Fi",2015,5.6,Life for the residents of a tower block begins to run out of control.
The Night Before,"Adventure, Comedy, Fantasy",2015,6.4,"On Christmas eve, three lifelong friends spend the night in New York City looking for the Holy Grail of Christmas parties."
Into the Forest,"Drama, Sci-Fi, Thriller",2015,5.9,"After a massive power outage, two sisters learn to survive on their own in their isolated woodland home."
The Editor,"Comedy, Horror, Mystery",2014,6.0,A film editor gets embroiled in a string of murders.
Everest,"Action, Adventure, Biography, Drama, Thriller",2015,7.1,"The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest."
The Brand New Testament,"Comedy, Fantasy",2015,7.1,Did you know that God is alive and lives in Brussels with his daughter?
Spotlight,"Crime, Drama, History",2015,8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
Pawn Sacrifice,"Biography, Drama, Sport, Thriller",2014,7.0,"Set during the Cold War, American chess prodigy Bobby Fischer finds himself caught between two superpowers and his own struggles as he challenges the Soviet Empire."
Hardcore Henry,"Action, Adventure, Sci-Fi, Thriller",2015,6.7,"Henry is resurrected from death with no memory, and he must save his wife from a telekinetic warlord with a plan to bio-engineer soldiers."
Burnt,"Comedy, Drama",2015,6.6,"Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars."
Ryûzô to 7 nin no kobun tachi,"Action, Comedy",2015,5.6,Ryuzo and the Seven Henchmen (2015) is about the story of Ryuzo and the Seven Henchmen who love derby race want to do the last battle with Yakuza guys.
Suck Me Shakespeer 2,Comedy,2015,6.0,Mr. Müller and his class are taking a school trip to Thailand to strengthen the reputation of their school.
Life Eternal,"Comedy, Crime, Thriller",2015,7.2,Former cop Brenner has to return to his home town where he gets involved in a tragic story between his old friends.
Hotel Transylvania 2,"Animation, Comedy, Family, Fantasy",2015,6.7,"Dracula and his friends try to bring out the monster in his half human, half vampire grandson in order to keep Mavis from leaving the hotel."
Anti-Social,Crime,2015,6.1,"Central London, today; Dee is an anarchic street-artist confronting the system, Marcus is an armed robber on a jewellery store crime-wave. For the two brothers, being Anti-Social is a way of life."
The Little Prince,"Animation, Adventure, Drama, Family, Fantasy",2015,7.7,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince."
Ashby,"Comedy, Drama, Romance",2015,6.4,"High-school student Ed Wallis enters into a friendship with his neighbor, Ashby, a retired CIA assassin who only has a few months left to live."
Wonder Woman,"Action, Adventure, Fantasy, Sci-Fi, War",2017,7.5,"When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
The Circle,"Drama, Sci-Fi, Thriller",2017,5.3,"A woman lands a dream job at a powerful tech company called the Circle, only to uncover an agenda that will affect the lives of all of humanity."
Silence,"Adventure, Drama, History",2016,7.2,"In the 17th century, two Portuguese Jesuit priests travel to Japan in an attempt to locate their mentor, who is rumored to have committed apostasy, and to propagate Catholicism."
Bridge of Spies,"Drama, History, Thriller",2015,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers."
Into the Grizzly Maze,"Action, Adventure, Horror, Thriller",2015,5.3,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.
Human,Documentary,2015,8.7,"A collection of stories about and images of our world, offering an immersion to the core of what it means to be human."
Chasuke's Journey,"Action, Comedy, Fantasy",2015,6.2,A fantasy love story that drifts between this world and heaven. Chasuke (Ken'ichi Matsuyama) is in charge of making tea in heaven. He has feelings for a human woman named Yuri (Ito Ohno) ...
L.A. Slasher,"Comedy, Crime, Drama, Horror",2015,3.6,"Driven to rage over the tawdry excesses of reality television, a self-appointed cultural crusader kidnaps several very famous nobodies to make his point- but his crimes only generate more tabloid frenzy."
"Hail, Caesar!","Comedy, Mystery",2016,6.3,A Hollywood fixer in the 1950s works to keep the studio's stars in line.
How to Change the World,"Documentary, Adventure, Biography, History",2015,7.6,"In 1971, a group of friends sail into a nuclear test zone, and their protest captures the world's imagination. Using never before seen archive that brings their extraordinary world to life,..."
Look Who's Back,"Comedy, Fantasy",2015,7.1,"Adolf Hitler wakes up in the 21st century. He quickly gains media attention, but while Germany finds him hilarious and charming, Hitler makes some serious observations about society."
Slow Learners,"Comedy, Romance",2015,5.8,"Jeff and Anne, two close friends and co-workers, are embarrassingly unlucky at love. They hatch a plan to transform themselves over the course of a sex-and-alcohol-fueled summer."
Goosebumps,"Adventure, Comedy, Family, Fantasy, Horror",2015,6.3,"A teenager teams up with the daughter of young adult horror author R. L. Stine after the writer's imaginary demons are set free on the town of Madison, Delaware."
The Perfect Guy,"Drama, Thriller",2015,5.6,"After breaking up with her boyfriend, a professional woman gets involved with a man who seems almost too good to be true."
Rock the Kasbah,"Comedy, Music, War",2015,5.5,"A down-on-his-luck music manager discovers a teenage girl with an extraordinary voice while on a music tour in Afghanistan and takes her to Kabul to compete on the popular television show, Afghan Star."
Freaks of Nature,"Comedy, Horror, Sci-Fi",2015,5.9,"In the town of Dillford, humans, vampires and zombies were all living in peace - until the alien apocalypse arrived. Now three teenagers - one human, one vampire, and one zombie - have to team up to figure out how to get rid of the visitors."
Bone Tomahawk,"Adventure, Drama, Horror, Western",2015,7.1,"In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers."
Extraordinary Tales,"Animation, Horror, Mystery",2013,6.5,An animated anthology of five tales adapted from Edgar Allan Poe's stories.
The Dressmaker,"Comedy, Drama",2015,7.1,"A glamorous woman returns to her small town in rural Australia. With her sewing machine and haute couture style, she transforms the women and exacts sweet revenge on those who did her wrong."
Trumbo,"Biography, Drama",2015,7.5,"In 1947, Dalton Trumbo was Hollywood's top screenwriter, until he and other artists were jailed and blacklisted for their political beliefs."
Concussion,"Biography, Drama, Sport",2015,7.1,"In Pittsburgh, accomplished pathologist Dr. Bennet Omalu uncovers the truth about brain damage in football players who suffer repeated concussions in the course of normal play."
The Peanuts Movie,"Animation, Adventure, Comedy, Family",2015,7.1,"Snoopy embarks upon his greatest mission as he and his team take to the skies to pursue their archnemesis, while his best pal Charlie Brown begins his own epic quest back home to win the love of his life."
Blue Mountain State: The Rise of Thadland,"Comedy, Sport",2016,5.8,"When the Dean of Blue Mountain State threatens to sell the Goat House, Alex throws Thad the party of his dreams in an effort to get him to buy it."
The Boy and the Beast,"Animation, Action, Adventure, Fantasy",2015,7.7,"When a young orphaned boy living on the streets of Shibuya stumbles upon a fantastic world of beasts, he's taken in by a gruff warrior beast looking for an apprentice."
Creed,"Drama, Sport",2015,7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed."
Twinsters,"Documentary, Biography, Family",2015,7.6,"Adopted from South Korea, raised on different continents & connected through social media, Samantha & Anaïs believe that they are twin sisters separated at birth."
Cosmic Scrat-tastrophe,"Animation, Short, Adventure, Comedy, Family, Sci-Fi",2015,6.9,"Because of his undying love for acorns, Scrat makes an astounding discovery that sends him deep into the black and endless space; however, his actions have consequences of cosmic proportions. Will he stay forever stranded in the void?"
Solace,"Crime, Drama, Mystery, Thriller",2015,6.4,"A psychic works with the F.B.I., in order to hunt down a serial killer."
Lost in the Sun,"Action, Drama, Thriller",2016,6.0,"The story of John, a small-time crook, who finds an unlikely accomplice in Louis, a newly-orphaned teenage boy. As their open-road adventure progresses and John drags the kid on a string of..."
A Perfect Day,"Comedy, Drama, War",2015,6.8,A group of aid workers work to resolve a crisis in an armed conflict zone.
Hitchcock/Truffaut,Documentary,2015,7.4,"Filmmakers discuss how Francois Truffaut's 1966 book ""Cinema According to Hitchcock"" influenced their work."
The 5th Wave,"Action, Adventure, Drama, Fantasy, Sci-Fi, Thriller",2016,5.2,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother."
A Very Murray Christmas,"Comedy, Music, Musical",2015,5.5,Bill Murray worries no one will show up to his TV show due to a terrible snowstorm in New York City.
Chi-Raq,"Comedy, Crime, Drama, Musical",2015,5.7,"A modern day adaptation of the ancient Greek play Lysistrata by Aristophanes, set against the backdrop of gang violence in Chicago, Illinois."
Truth,"Biography, Drama, History",2015,6.8,"Newsroom drama detailing the 2004 CBS 60 Minutes report investigating then-President George W. Bush's military service, and the subsequent firestorm of criticism that cost anchor Dan Rather and producer Mary Mapes their careers."
Just Jim,"Comedy, Drama, Thriller",2015,5.8,A Welsh teenager will become the cool kid of the town if a deal is made with his new American neighbour.
The Big Short,"Biography, Comedy, Drama, History",2015,7.8,In 2006-7 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.
Applesauce,"Comedy, Romance",2015,6.4,"Two married couples become increasingly agitated with each other as they find out things about each other's past, while one of them is receiving disturbing packages from an unknown source."
The Ridiculous 6,"Comedy, Western",2015,4.8,"An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward, deadbeat dad."
John Mulaney: The Comeback Kid,"Documentary, Comedy",2015,7.9,"Armed with boyish charm and a sharp wit, the former SNL writer offers sly takes on marriage, his beef with babies and the time he met Bill Clinton."
Northpole: Open for Christmas,"Drama, Family, Fantasy",2015,6.3,"A successful businesswoman, Mackenzie, inherits her beloved aunt's inn, and chooses to restore the hotel to its original grandeur only to sell it right before Christmas. Unbeknownst to ..."
Mojave,"Drama, Thriller",2015,5.2,"A suicidal artist goes into the desert, where he finds his doppelgänger, a homicidal drifter."
World of Tomorrow,"Animation, Short, Comedy, Drama, Sci-Fi",2015,8.1,A little girl is taken on a mind-bending tour of her distant future.
Zoolander 2,Comedy,2016,4.7,"Derek and Hansel are lured into modelling again, in Rome, where they find themselves the target of a sinister conspiracy."
How to Be Single,"Comedy, Drama, Romance",2016,6.1,A group of young adults navigate love and relationships in New York City.
He Never Died,"Comedy, Drama, Fantasy, Thriller",2015,6.4,"Jack, a social outcast, is thrust out of his comfort zone when the outside world bangs on his door and he can't contain his violent past."
Parasyte: Part 2,"Action, Drama, Horror, Sci-Fi",2015,6.5,"Humanity is under attack by human-mimicking flesh-eating alien parasites. One parasite bonds with his young high school student host, and he convinces the parasite to help him stop the others."
Lumberjack Man,"Comedy, Horror",2015,4.3,"As the staff of Good Friends Church Camp prepares for a spring break filled with ""Fun Under the Son"", a demon logger rises from his sap boiler to wreak his vengeance and feast on flapjacks soaked in the blood of his victims."
Daddy's Home,Comedy,2015,6.1,"Brad Whitaker is a radio host trying to get his stepchildren to love him and call him Dad. But his plans turn upside down when their biological father, Dusty Mayron, returns."
Sisters,Comedy,2015,6.0,Two sisters decide to throw one last house party before their parents sell their family home.
'Tis the Season for Love,"Comedy, Drama, Family, Romance",2015,6.5,"A small town girl who moved to New York to pursue her dreams returns home for the holidays, only to realize that maybe her dreams aren't miles away, but right in her hometown."
Kung Fu Panda 3,"Animation, Action, Adventure, Comedy, Family, Fantasy",2016,7.1,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home."
Standoff,"Drama, Thriller",2016,6.1,"Carter (Thomas Jane), a troubled veteran, gets a chance at redemption by protecting a 12-year-old girl from an assassin (Laurence Fishburne) after she witnesses a murder. Holding a shotgun ..."
Pride and Prejudice and Zombies,"Action, Horror, Romance",2016,5.8,Five sisters in 19th century England must cope with the pressures to marry while protecting themselves from a growing population of zombies.
The Devil's Candy,"Drama, Horror, Thriller",2015,6.4,"A struggling painter is possessed by satanic forces after he and his young family move into their dream home in rural Texas, in this creepy haunted-house tale."
Close Range,"Action, Crime",2015,5.0,"A rogue soldier turned outlaw is thrust into a relentless fight with a corrupt sheriff, his obedient deputies, and a dangerous drug cartel in order to protect his sister and her young daughter."
The Abominable Bride,"Crime, Drama, Mystery, Thriller",2016,8.2,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this Christmas special.
The Husbands of River Song,"Adventure, Drama, Family, Mystery, Sci-Fi",2015,8.6,"When a crashed spaceship calls upon the Doctor for help, he finds himself recruited into River Song's squad and hurled into a chase across the galaxy."
Moonwalkers,"Action, Comedy",2015,6.1,"After failing to locate the legendary Stanley Kubrick, an unstable CIA agent must instead team up with a seedy rock band manager to develop the biggest con of all time-staging the moon landing."
Tomorrow,Documentary,2015,8.1,"Climate is changing. Instead of showing all the worst that can happen, this documentary focuses on the people suggesting solutions and their actions."
Spy Time,"Action, Comedy",2015,6.1,"Adolfo, a thirty something security guard, is going through a bad patch. Not only his lifetime girlfriend has just to finished with him to be a guy with no ambition but, moreover, he ..."
Wiener-Dog,"Comedy, Drama",2016,5.9,"A dachshund passes from oddball owner to oddball owner, whose radically dysfunctional lives are all impacted by the pooch."
Ride Along 2,"Action, Comedy",2016,5.9,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product."
Maggie's Plan,"Comedy, Drama, Romance",2015,6.2,"Maggie wants to have a baby, raising him on her own, but when she gets romantically involved with John, a married man, things get complicated and all the balance of Maggie's plans may collapse."
Eddie the Eagle,"Biography, Comedy, Drama, Sport",2015,7.4,"The story of Eddie Edwards, the notoriously tenacious British underdog ski jumper who charmed the world at the 1988 Winter Olympics."
Exposed,"Crime, Drama, Fantasy, Mystery, Thriller",2016,4.3,A police detective investigates the truth behind his partner's death. The mysterious case reveals disturbing police corruption and a dangerous secret involving an unlikely young woman.
Stonewall,Drama,2015,5.1,A young man's political awakening and coming of age during the days and weeks leading up to the Stonewall Riots.
Frankenstein,"Horror, Sci-Fi, Thriller",2015,5.1,A married couple of scientists create a modern-day monster.
Welcome to Happiness,"Comedy, Drama, Fantasy",2015,6.1,"There's a magical door in Woody's closet that allows those who go through it to erase mistakes from their past. When he finds out where it goes, his life will be changed forever."
Risen,"Action, Adventure, Drama, Mystery",2016,6.3,"In 33 AD, a Roman Tribune in Judea is tasked to find the missing body of Jesus Christ who rose from the dead."
The Survivalist,"Drama, Sci-Fi, Thriller",2015,6.4,"In a time of starvation, a survivalist lives off a small plot of land hidden deep in forest. When two women seeking food and shelter discover his farm, he finds his existence threatened."
Dirty Grandpa,Comedy,2016,5.9,"Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break."
Requiem for the American Dream,"Documentary, Biography, News",2015,8.1,"The academic and activist Noam Chomsky describes the systems that have led to financial inequality, and the current concentration of wealth and power."
The Finest Hours,"Action, Drama, History, Thriller",2016,6.8,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.
Grease Live!,"Musical, Romance",2016,7.4,"After enjoying a summer romance, high school students Danny and Sandy are unexpectedly reunited when she transfers to Rydell High. There Sandy must contend with cynical Rizzo and the Pink Ladies in attempt to win Danny's heart again."
Gods of Egypt,"Action, Adventure, Fantasy",2016,5.4,"Mortal hero Bek teams with the god Horus in an alliance against Set, the merciless god of darkness, who has usurped Egypt's throne, plunging the once peaceful and prosperous empire into chaos and conflict."
Embrace of the Serpent,"Adventure, Drama",2015,7.9,"The story of the relationship between Karamakate, an Amazonian shaman and last survivor of his people, and two scientists who work together over the course of forty years to search the Amazon for a sacred healing plant."
Race,"Biography, Drama, Sport",2016,7.1,"Jesse Owens' quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy."
10 Cloverfield Lane,"Drama, Horror, Mystery, Sci-Fi, Thriller",2016,7.2,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
London Has Fallen,"Action, Thriller",2016,5.9,"In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders."
Zootopia,"Animation, Adventure, Comedy, Crime, Family, Mystery",2016,8.0,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
Whiskey Tango Foxtrot,"Biography, Comedy, Drama, War",2016,6.6,A journalist recounts her wartime coverage in Afghanistan.
Desierto,"Drama, Thriller",2015,6.0,A group of people trying to cross the border from Mexico into the United States encounter a man who has taken border patrol duties into his own racist hands.
The Brothers Grimsby,"Action, Adventure, Comedy, Crime, Thriller",2016,6.2,A new assignment forces a top spy to team up with his football hooligan brother.
L'attesa,Drama,2015,6.5,A mother unexpectedly meets her son's fiancée at a villa in Sicily and gets to know her as she waits for her son to arrive.
War & Peace,"Drama, History, Romance, War",2016,8.2,"As the Russian conflict with Napoleon reaches its peak, five aristocratic families face the possibility of their lives being changed forever."
Southbound,"Fantasy, Horror, Thriller",2015,5.9,Five interlocking tales of terror follow the fates of a group of weary travellers who confront their worst nightmares - and darkest secrets - over one long night on a desolate stretch of desert highway.
Ip Man 3,"Action, Biography, Drama, History",2015,7.1,"When a band of brutal gangsters led by a crooked property developer make a play to take over a local school, Master Ip is forced to take a stand."
Santa's Little Helper,"Comedy, Family",2015,5.0,"After getting fired from his job, a slick, fast-talking businessman (The Miz) is thrown into an elf competition to become Santa¹s next second-in-command. Put through a series of rigorous ..."
Hunt for the Wilderpeople,"Adventure, Comedy, Drama",2016,7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.
Dad's Army,"Comedy, War",2016,5.2,The Walmington-on-Sea Home Guard platoon deal with a visiting female journalist and a German spy as World War II draws to its conclusion.
The Barkley Marathons: The Race That Eats Its Young,"Documentary, Adventure, History, Sport",2014,7.8,"In its first 25 years only 10 people have finished The Barkley Marathons. Based on a historic prison escape, this cult like race tempts people from around the world to test their limits of ..."
Merci patron!,Documentary,2016,7.4,"A family fired by a company owned by LVMH (Group owned by French billionaire, Bernard Arnault) seeks reparation from their previous employer with the help of the movie director."
The Neon Demon,"Horror, Thriller",2016,6.2,"An aspiring model, Jesse, is new to Los Angeles. However, her beauty and youth, which generate intense fascination and jealousy within the fashion industry, may prove themselves sinister."
Eye in the Sky,"Drama, Thriller, War",2015,7.3,"Col. Katherine Powell, a military officer in command of an operation to capture terrorists in Kenya, sees her mission escalate when a girl enters the kill zone triggering an international dispute over the implications of modern warfare."
Camino,"Action, Adventure, Thriller",2015,5.0,"In the jungles of Colombia, a photojournalist captures the truth behind a group of missionaries who may not be what they seem."
Mr. Right,"Action, Comedy, Romance",2015,6.3,"A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him."
Florence Foster Jenkins,"Biography, Comedy, Drama, Music",2016,6.8,"The story of Florence Foster Jenkins, a New York heiress who dreamed of becoming an opera singer, despite having a terrible singing voice."
